date,location,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million
2021-09-19,Poland,691.5839413631219,17.35152450442625,10.43288355822797,0.26164251207747236
2021-09-20,Poland,701.8538730639452,17.60922512078491,10.73473263369045,0.26924407796120237
2021-09-21,Poland,692.3124770952562,17.36988125938212,10.097617857744654,0.25331640846260767
2021-09-22,Poland,683.6846243549542,17.153406263546554,10.40033316675703,0.2608870564719415
2021-09-23,Poland,735.9787772785281,18.46552577046067,13.289488589047858,0.33335625520595735
2021-09-24,Poland,804.9124770953332,20.195059070478496,13.334499416967247,0.3344781609197675
2021-09-25,Poland,827.081559220952,20.75125763786185,13.477994336174412,0.33810727969371634
2021-09-26,Poland,857.2764950863732,21.50884601034279,14.461435948702146,0.3627967016494219
2021-09-27,Poland,896.6252540402562,22.496057637863025,15.489521905724327,0.38859000499776514
2021-09-28,Poland,906.8340829591368,22.752165717156895,14.472830251550727,0.36305104114634024
2021-09-29,Poland,926.8696651680464,23.254789905063284,15.195935365660844,0.3812194902551318
2021-09-30,Poland,1062.9396968189806,26.668707379661647,19.139063801445637,0.4801382308848844
2021-10-01,Poland,1171.6242212235184,29.39558190906546,19.84124604365833,0.49782475428986017
2021-10-02,Poland,1263.6251540904805,31.70388858906037,21.53916375147225,0.540418057638215
2021-10-03,Poland,1334.3034149600935,33.47715815427894,22.175079127118178,0.556373846410506
2021-10-04,Poland,1413.2008995511846,35.456661069489364,21.927969348673894,0.5502364817594939
2021-10-05,Poland,1433.6904214569126,35.97073453275807,19.745827086470182,0.4954772946863267
2021-10-06,Poland,1435.5295352333592,36.01693033485706,20.66473429953096,0.5185351990674855
2021-10-07,Poland,1626.6029318685064,40.81087329671274,25.609561885741225,0.6426435782113318
2021-10-08,Poland,1791.3504247888234,44.9443651507885,27.505314009680536,0.6901885057475955
2021-10-09,Poland,1849.6829585219966,46.40792816928024,27.54682658672536,0.6911925037485956
2021-10-10,Poland,1904.1519906726253,47.774523571580026,30.00836248544434,0.7529162418795721
2021-10-11,Poland,1962.9911044491093,49.25081552560401,31.234782608716873,0.7836423788111271
2021-10-12,Poland,1944.9370981189293,48.79788319177063,29.214159586893068,0.732861802432615
2021-10-13,Poland,1978.984374480772,49.65210894556098,28.957854406149956,0.7264064634354431
2021-10-14,Poland,2336.492253874653,58.62176904884882,35.71667499585973,0.8959808429124873
2021-10-15,Poland,2723.4341495937224,68.33000653011476,39.57887722807955,0.9929270364824337
2021-10-16,Poland,2999.519373648548,75.25680409800219,39.37841079462944,0.9878771281032863
2021-10-17,Poland,3335.885324006932,83.69609675168108,41.05197401302137,1.0298731301023154
2021-10-18,Poland,3637.3155755480316,91.25883454945397,40.6809928369425,1.0205986673336935
2021-10-19,Poland,3758.6803265059675,94.30377324677401,36.10834582711097,0.9059462602038467
2021-10-20,Poland,3941.450707982021,98.88939450281582,38.0913543228645,0.9557039147099622
2021-10-21,Poland,4342.712043980963,108.95690551398377,43.02602032320103,1.079530268199968
2021-10-22,Poland,5119.137397971163,128.437145294107,54.198634016362064,1.359796801600126
2021-10-23,Poland,5879.300383145757,147.50935245720504,67.28015992008575,1.6880004331179224
