"ID";"ModesOfTravel";"Population";"TripCharacteristics";"Margins";"RegionCharacteristics";"Periods";"Trips_1";"Trips_4"
"4015";"T001093";"A048710";"2031090";"MW00000";"PV28    ";"2021JJ00";"1.75";"91"
"4016";"T001093";"A048710";"2031090";"MW00000";"PV29    ";"2018JJ00";"1.95";"101"
"4017";"T001093";"A048710";"2031090";"MW00000";"PV29    ";"2019JJ00";"1.86";"97"
"4018";"T001093";"A048710";"2031090";"MW00000";"PV29    ";"2020JJ00";"1.44";"75"
"4019";"T001093";"A048710";"2031090";"MW00000";"PV29    ";"2021JJ00";"1.76";"91"
"4020";"T001093";"A048710";"2031090";"MW00000";"PV30    ";"2018JJ00";"2.11";"110"
"4021";"T001093";"A048710";"2031090";"MW00000";"PV30    ";"2019JJ00";"1.96";"102"
"4022";"T001093";"A048710";"2031090";"MW00000";"PV30    ";"2020JJ00";"1.81";"94"
"4023";"T001093";"A048710";"2031090";"MW00000";"PV30    ";"2021JJ00";"2";"104"
"4024";"T001093";"A048710";"2031090";"MW00000";"PV31    ";"2018JJ00";"2.1";"109"
"4025";"T001093";"A048710";"2031090";"MW00000";"PV31    ";"2019JJ00";"2.12";"110"
"4026";"T001093";"A048710";"2031090";"MW00000";"PV31    ";"2020JJ00";"1.81";"94"
"4027";"T001093";"A048710";"2031090";"MW00000";"PV31    ";"2021JJ00";"1.92";"100"
"4048";"T001093";"A048710";"2031090";"MOG0095";"NL01    ";"2018JJ00";"2.02";"105"
"4049";"T001093";"A048710";"2031090";"MOG0095";"NL01    ";"2019JJ00";"1.89";"98"
"4050";"T001093";"A048710";"2031090";"MOG0095";"NL01    ";"2020JJ00";"1.6";"83"
"4051";"T001093";"A048710";"2031090";"MOG0095";"NL01    ";"2021JJ00";"1.79";"93"
"4052";"T001093";"A048710";"2031090";"MOG0095";"LD01    ";"2018JJ00";"1.83";"95"
"4053";"T001093";"A048710";"2031090";"MOG0095";"LD01    ";"2019JJ00";"1.67";"87"
"4054";"T001093";"A048710";"2031090";"MOG0095";"LD01    ";"2020JJ00";"1.39";"72"
"4055";"T001093";"A048710";"2031090";"MOG0095";"LD01    ";"2021JJ00";"1.62";"84"
"4056";"T001093";"A048710";"2031090";"MOG0095";"LD02    ";"2018JJ00";"1.97";"103"
"4057";"T001093";"A048710";"2031090";"MOG0095";"LD02    ";"2019JJ00";"1.87";"97"
"4058";"T001093";"A048710";"2031090";"MOG0095";"LD02    ";"2020JJ00";"1.56";"81"
"4059";"T001093";"A048710";"2031090";"MOG0095";"LD02    ";"2021JJ00";"1.72";"89"
"4060";"T001093";"A048710";"2031090";"MOG0095";"LD03    ";"2018JJ00";"1.99";"103"
"4061";"T001093";"A048710";"2031090";"MOG0095";"LD03    ";"2019JJ00";"1.85";"96"
"4062";"T001093";"A048710";"2031090";"MOG0095";"LD03    ";"2020JJ00";"1.52";"79"
"4063";"T001093";"A048710";"2031090";"MOG0095";"LD03    ";"2021JJ00";"1.74";"91"
"4064";"T001093";"A048710";"2031090";"MOG0095";"LD04    ";"2018JJ00";"2.01";"104"
"4065";"T001093";"A048710";"2031090";"MOG0095";"LD04    ";"2019JJ00";"1.91";"99"
"4066";"T001093";"A048710";"2031090";"MOG0095";"LD04    ";"2020JJ00";"1.71";"89"
"4067";"T001093";"A048710";"2031090";"MOG0095";"LD04    ";"2021JJ00";"1.88";"98"
"4068";"T001093";"A048710";"2031090";"MOG0095";"PV20    ";"2018JJ00";"1.87";"97"
"4069";"T001093";"A048710";"2031090";"MOG0095";"PV20    ";"2019JJ00";"1.59";"83"
"4070";"T001093";"A048710";"2031090";"MOG0095";"PV20    ";"2020JJ00";"1.27";"66"
"4071";"T001093";"A048710";"2031090";"MOG0095";"PV20    ";"2021JJ00";"1.4";"73"
"4072";"T001093";"A048710";"2031090";"MOG0095";"PV21    ";"2018JJ00";"1.63";"85"
"4073";"T001093";"A048710";"2031090";"MOG0095";"PV21    ";"2019JJ00";"1.49";"78"
"4074";"T001093";"A048710";"2031090";"MOG0095";"PV21    ";"2020JJ00";"1.43";"74"
"4075";"T001093";"A048710";"2031090";"MOG0095";"PV21    ";"2021JJ00";"1.54";"80"
"4076";"T001093";"A048710";"2031090";"MOG0095";"PV22    ";"2018JJ00";"1.72";"89"
"4077";"T001093";"A048710";"2031090";"MOG0095";"PV22    ";"2019JJ00";"1.62";"84"
"4078";"T001093";"A048710";"2031090";"MOG0095";"PV22    ";"2020JJ00";"1.14";"59"
"4079";"T001093";"A048710";"2031090";"MOG0095";"PV22    ";"2021JJ00";"1.65";"86"
"4080";"T001093";"A048710";"2031090";"MOG0095";"PV23    ";"2018JJ00";"2";"104"
"4081";"T001093";"A048710";"2031090";"MOG0095";"PV23    ";"2019JJ00";"1.79";"93"
"4082";"T001093";"A048710";"2031090";"MOG0095";"PV23    ";"2020JJ00";"1.52";"79"
"4083";"T001093";"A048710";"2031090";"MOG0095";"PV23    ";"2021JJ00";"1.64";"85"
"4084";"T001093";"A048710";"2031090";"MOG0095";"PV24    ";"2018JJ00";"1.41";"73"
"4085";"T001093";"A048710";"2031090";"MOG0095";"PV24    ";"2019JJ00";"1.61";"84"
"4086";"T001093";"A048710";"2031090";"MOG0095";"PV24    ";"2020JJ00";"1.46";"76"
"4087";"T001093";"A048710";"2031090";"MOG0095";"PV24    ";"2021JJ00";"1.33";"69"
"4088";"T001093";"A048710";"2031090";"MOG0095";"PV25    ";"2018JJ00";"1.97";"102"
"4089";"T001093";"A048710";"2031090";"MOG0095";"PV25    ";"2019JJ00";"1.86";"97"
"4090";"T001093";"A048710";"2031090";"MOG0095";"PV25    ";"2020JJ00";"1.5";"78"
"4091";"T001093";"A048710";"2031090";"MOG0095";"PV25    ";"2021JJ00";"1.74";"91"
"4092";"T001093";"A048710";"2031090";"MOG0095";"PV26    ";"2018JJ00";"2.01";"105"
"4093";"T001093";"A048710";"2031090";"MOG0095";"PV26    ";"2019JJ00";"1.78";"93"
"4094";"T001093";"A048710";"2031090";"MOG0095";"PV26    ";"2020JJ00";"1.55";"80"
"4095";"T001093";"A048710";"2031090";"MOG0095";"PV26    ";"2021JJ00";"1.81";"94"
"4096";"T001093";"A048710";"2031090";"MOG0095";"PV27    ";"2018JJ00";"2";"104"
"4097";"T001093";"A048710";"2031090";"MOG0095";"PV27    ";"2019JJ00";"1.74";"90"
"4098";"T001093";"A048710";"2031090";"MOG0095";"PV27    ";"2020JJ00";"1.56";"81"
"4099";"T001093";"A048710";"2031090";"MOG0095";"PV27    ";"2021JJ00";"1.71";"89"
"4100";"T001093";"A048710";"2031090";"MOG0095";"PV28    ";"2018JJ00";"1.88";"98"
"4101";"T001093";"A048710";"2031090";"MOG0095";"PV28    ";"2019JJ00";"1.87";"97"
"4102";"T001093";"A048710";"2031090";"MOG0095";"PV28    ";"2020JJ00";"1.43";"74"
"4103";"T001093";"A048710";"2031090";"MOG0095";"PV28    ";"2021JJ00";"1.67";"87"
"4104";"T001093";"A048710";"2031090";"MOG0095";"PV29    ";"2018JJ00";"1.67";"87"
"4105";"T001093";"A048710";"2031090";"MOG0095";"PV29    ";"2019JJ00";"1.58";"82"
"4106";"T001093";"A048710";"2031090";"MOG0095";"PV29    ";"2020JJ00";"1.2";"62"
"4107";"T001093";"A048710";"2031090";"MOG0095";"PV29    ";"2021JJ00";"1.5";"78"
"4108";"T001093";"A048710";"2031090";"MOG0095";"PV30    ";"2018JJ00";"1.99";"104"
"4109";"T001093";"A048710";"2031090";"MOG0095";"PV30    ";"2019JJ00";"1.85";"96"
"4110";"T001093";"A048710";"2031090";"MOG0095";"PV30    ";"2020JJ00";"1.7";"88"
"4111";"T001093";"A048710";"2031090";"MOG0095";"PV30    ";"2021JJ00";"1.88";"98"
"4112";"T001093";"A048710";"2031090";"MOG0095";"PV31    ";"2018JJ00";"1.91";"99"
"4113";"T001093";"A048710";"2031090";"MOG0095";"PV31    ";"2019JJ00";"1.93";"100"
"4114";"T001093";"A048710";"2031090";"MOG0095";"PV31    ";"2020JJ00";"1.62";"84"
"4115";"T001093";"A048710";"2031090";"MOG0095";"PV31    ";"2021JJ00";"1.75";"91"
"4136";"T001093";"A048710";"2031090";"MBG0095";"NL01    ";"2018JJ00";"2.11";"110"
"4137";"T001093";"A048710";"2031090";"MBG0095";"NL01    ";"2019JJ00";"1.98";"103"
"4138";"T001093";"A048710";"2031090";"MBG0095";"NL01    ";"2020JJ00";"1.67";"87"
"4139";"T001093";"A048710";"2031090";"MBG0095";"NL01    ";"2021JJ00";"1.87";"97"
"4140";"T001093";"A048710";"2031090";"MBG0095";"LD01    ";"2018JJ00";"2.11";"110"
"4141";"T001093";"A048710";"2031090";"MBG0095";"LD01    ";"2019JJ00";"1.97";"102"
"4142";"T001093";"A048710";"2031090";"MBG0095";"LD01    ";"2020JJ00";"1.66";"87"
"4143";"T001093";"A048710";"2031090";"MBG0095";"LD01    ";"2021JJ00";"1.88";"98"
"4144";"T001093";"A048710";"2031090";"MBG0095";"LD02    ";"2018JJ00";"2.16";"112"
"4145";"T001093";"A048710";"2031090";"MBG0095";"LD02    ";"2019JJ00";"2.08";"108"
"4146";"T001093";"A048710";"2031090";"MBG0095";"LD02    ";"2020JJ00";"1.73";"90"
"4147";"T001093";"A048710";"2031090";"MBG0095";"LD02    ";"2021JJ00";"1.89";"99"
